Injection,Q
1,-3.6336E-006
2,-3.86547E-006
3,-3.9598E-006
4,-4.14214E-006
5,-4.58824E-006
6,-4.29953E-006
7,-4.43916E-006
8,-4.2948E-006
9,-4.36096E-006
10,-4.31998E-006
11,-4.43302E-006
12,-4.37613E-006
13,-4.30411E-006
14,-4.13658E-006
15,-4.31589E-006
16,-4.23704E-006
17,-4.22211E-006
18,-3.96557E-006
19,-3.51954E-006
20,-2.41653E-006
21,-1.30122E-006
22,-8.51323E-007
23,-7.80452E-007
24,-6.76447E-007
25,-6.09971E-007
26,-5.11514E-007
27,-5.47267E-007
28,-5.31892E-007
29,-4.06544E-007
30,-5.33383E-007
