Injection,Q
1,-4.38407E-006
2,-5.40083E-006
3,-5.38672E-006
4,-5.34424E-006
5,-5.17982E-006
6,-5.07721E-006
7,-4.81027E-006
8,-5.19874E-006
9,-5.03961E-006
10,-4.99559E-006
11,-5.01652E-006
12,-4.92092E-006
13,-4.82613E-006
14,-4.6103E-006
15,-4.50621E-006
16,-4.10219E-006
17,-3.44434E-006
18,-2.71179E-006
19,-1.80318E-006
20,-1.13255E-006
21,-1.04741E-006
22,-5.70703E-007
23,-3.73649E-007
24,-3.498E-007
25,-3.31929E-007
26,-2.9332E-007
27,-2.47197E-007
28,-2.2571E-007
29,-1.70911E-007
30,-1.54452E-007
